Time,T_V1,WMZ_NEBEN,F_R121,S1,S2
01.01.2013 00:00:00,"21,05",24876800,0,15761200,2503000
01.01.2013 00:10:00,"21,05",24877000,0,15761200,2503000
01.01.2013 00:20:00,"21,035",24877200,0,15761200,2503000
01.01.2013 00:30:00,"21,02",24877400,0,15761200,2503000
01.01.2013 00:40:00,"21,01",24877600,0,15761200,2503000
01.01.2013 00:50:00,21,24877800,0,15761200,2503000
01.01.2013 01:00:00,21,24878000,0,15761200,2503000
01.01.2013 01:10:00,21,24878100,0,15761200,2503000
01.01.2013 01:20:00,21,24878300,0,15761200,2503000
01.01.2013 01:30:00,21,24878500,1,15761200,2503000
01.01.2013 01:40:00,21,24878700,1,15761200,2503000
01.01.2013 01:50:00,21,24878900,1,15761200,2503000
01.01.2013 02:00:00,"20,985",24879100,1,15761200,2503000
01.01.2013 02:10:00,"20,985",24879300,1,15761200,2503000
01.01.2013 02:20:00,21,24879500,1,15761200,2503000
01.01.2013 02:30:00,"20,985",24879700,1,15761200,2503000
01.01.2013 02:40:00,"20,985",24879900,1,15761200,2503000
01.01.2013 02:50:00,21,24880100,1,15761200,2503000
01.01.2013 03:00:00,"20,975",24880300,1,15761200,2503000
01.01.2013 03:10:00,"20,96",24880500,1,15761200,2503000
01.01.2013 03:20:00,"20,97",24880700,1,15761200,2503000
01.01.2013 03:30:00,"20,97",24880900,1,15761200,2503000
01.01.2013 03:40:00,"20,97",24881200,1,15761200,2503000
01.01.2013 03:50:00,"20,97",24881400,1,15761200,2503000
01.01.2013 04:00:00,"20,96",24881600,1,15761200,2503000
01.01.2013 04:10:00,"20,95",24881800,1,15761200,2503000
01.01.2013 04:20:00,"20,95",24881900,1,15761200,2503000
01.01.2013 04:30:00,"20,985",24882200,1,15761200,2503000
01.01.2013 04:40:00,"21,06",24882600,1,15761200,2503000
01.01.2013 04:50:00,"21,068",24882800,1,15761200,2503000
01.01.2013 05:00:00,"21,002",24883000,1,15761200,2503000
01.01.2013 05:10:00,"20,895",24883200,1,15761200,2503000
01.01.2013 05:20:00,"20,78",24883400,1,15761200,2503000
01.01.2013 05:30:00,"20,7",24883600,1,15761200,2503000
01.01.2013 05:40:00,"20,66",24884000,1,15761200,2503000
01.01.2013 05:50:00,"20,74",24884300,0,15761200,2503000
01.01.2013 06:00:00,"20,855",24884600,0,15761200,2503000
01.01.2013 06:10:00,"20,89",24885000,0,15761200,2503000
01.01.2013 06:20:00,"20,93",24885300,0,15761400,2503000
01.01.2013 06:30:00,"20,905",24885600,0,15761500,2503000
01.01.2013 06:40:00,"20,84",24886000,0,15761700,2503000
01.01.2013 06:50:00,"20,855",24886300,0,15761800,2503000
01.01.2013 07:00:00,"20,92",24886700,0,15762000,2503000
01.01.2013 07:10:00,"20,97",24887000,0,15762000,2503000
01.01.2013 07:20:00,"20,995",24887400,0,15762000,2503000
01.01.2013 07:30:00,"20,97",24887700,0,15762000,2503000
01.01.2013 07:40:00,"20,895",24888000,0,15762000,2503000
01.01.2013 07:50:00,"20,87",24888400,0,15762000,2503000
01.01.2013 08:00:00,"20,945",24888700,0,15762000,2503000
01.01.2013 08:10:00,"21,01",24889000,0,15762000,2503000
01.01.2013 08:20:00,"21,025",24889400,0,15762000,2503000
01.01.2013 08:30:00,21,24889700,0,15762000,2503000
